PLAYER_ID,GAME_ID,TWO_FGA,TWO_FGM,THREE_FGA,THREE_FGM,FTA,FTM,ASSITS,TURNOVER,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,BLOCKS,STEALS
1,1,2,1,3,2,2,1,5,2,1,2,2,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,1,0,0,4,2,0,2,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0
11,1,5,5,1,0,8,6,3,0,3,5,1,0
13,1,1,1,0,0,0,0,0,0,0,0,0,1
15,1,5,2,1,1,0,0,3,0,3,7,1,0
20,1,5,2,3,0,6,4,3,9,1,5,0,2
21,1,0,0,0,0,0,0,0,0,3,1,0,0
24,1,7,5,3,1,8,8,0,1,0,4,1,0
1,3,7,4,3,3,0,0,2,2,3,1,1,2
2,3,0,0,1,0,0,0,0,1,0,0,0,0
3,3,0,0,1,0,2,1,0,0,0,0,0,0
4,3,1,1,0,0,1,0,1,1,1,0,0,0
10,3,4,3,6,5,1,1,5,0,0,1,0,5
11,3,2,2,1,0,0,0,1,3,0,1,0,2
13,3,6,3,0,0,2,2,0,2,4,5,3,2
15,3,4,2,1,1,2,2,2,0,2,1,0,3
20,3,5,4,3,1,0,0,3,0,0,2,2,1
21,3,0,0,1,0,0,0,1,0,1,0,0,1
24,3,8,5,2,1,0,0,2,0,1,3,1,5
2,10,0,0,0,0,0,0,0,0,0,0,0,0
3,10,0,0,0,0,0,0,0,0,0,0,0,0
4,10,1,0,0,0,0,0,0,0,0,0,0,0
10,10,9,5,8,3,0,0,0,5,0,4,0,1
11,10,3,3,1,0,0,0,1,1,1,1,0,0
13,10,5,3,5,0,6,3,0,2,6,2,1,2
15,10,0,0,0,0,0,0,0,0,0,0,0,0
20,10,3,0,2,0,2,2,2,2,2,4,0,1
21,10,1,0,1,0,0,0,2,1,0,2,0,0
22,10,0,0,0,0,0,0,0,0,0,0,0,0
23,10,0,0,0,0,0,0,0,0,0,0,0,0
24,10,9,7,7,0,2,2,0,1,2,7,2,2
25,10,0,0,0,0,0,0,0,0,0,0,0,0
34,10,0,0,0,0,0,0,0,0,0,0,0,0
